signum,transliteration,english
Ög 32 $,sin · uk (:) þurburn : uk : satar : þR : ritu : stin : þina iftR · þurkl · brþr · sin · su(n) (·) s(i)--m,"Sveinn/Steinn/Seinn and Þorbjôrn and Sandarr, they erected this stone in memory of Þorkell, his (ie Torbjôrn's) brother, son of <si--m>."
Ög 33 $,... ... ...-a : iftiR : saibiurn ÷ faþur ÷ sin,"... ... ... in memory of Sæbjôrn, his father."
Ög 34 $,lhifuntr : raisþi : sten : þana : iftiR : un : bruþur : sin,"Hlífundr raised this stone in memory of Unnr, his brother."
Ög 35,$M [biþeom · uara · patær ...]ær · ha[ns · sial · til · ro · ok · til · naþa :+:] ok · raþborh[a^r ·] sia^l :+: guþ · gævi · þera · sial · himiriki,$M May we pray our paternoster for the peace and mercy of his soul and Raðborg's soul. May God give heaven their soul.
Ög 36 †,°,°
Ög 36B †,°,°
Ög 37 †,[...þ : þna : stn : aok : ...],... this stone and ...
Ög 38,ikuar sati stain,Ingvarr placed the stone.
Ög 39,†M [ehr ÷ ligr ÷ brutt^e ÷ a ih÷nastatum ÷ ok ÷ kiløh ÷ biþhum ÷ uara ÷ bat^r n÷oster ÷ þera s÷ha^l ÷ til ÷ ro ÷ ok ÷ til ÷ n^aþa o^k ÷ a^llum ÷ kristn-m ÷ sha^llum],†M Here lies Broddi in Hringstaðir(?) and Gillaug. May we pray our paternoster for the peace and mercy of their soul and of all Christian souls.
Ög 40,†$ [hulfi × iarþi × kuml × þusi × eftiR × ia... faþur·bruþur sin × uk × iftiR eskil × br-...],"†$ Holfi made these monuments in memory of Jarl(?), his father's brother, and in memory of Áskell, (his) brother."
Ög 41 †,[kitar : auk : beiR : bro... ... ... ...uþ : hialbi : sialu : hans],Gautarr(?) and his brothers(?) ... ... May God help his soul.
Ög 42 $,rulufR : resþi : stin : þana : eftiR : þu(r)stin/þu(þ)stin : sun : sin :,"Hrólfr raised this stone in memory of Þorsteinn/Þjóðsteinn, his son."
Ög 43,÷ salsi karþi sul ÷ D ÷ skut- - þ--a hiu ×,Sôlsi(?) made(?) the sun(?). Dagr(?) cut(?) this(?) on the cliff-face.
Ög 44 †,[karli : raisti : stin : þansi : aiftR : karal : faþur : sin :],"Karli raised this stone in memory of Karl, his father."
Ög 45,: harþi : auk : sikrif : litu : haukua : haili : þaisi : auk : kairþu : buru : þaisi : aiftiR : nan : buþur : sin :,"Harði and Sigreifr had this rock-slab cut and made this bridge in memory of Nannr, their brother."
Ög 46,+ uibarn + risti + sten + þisa × iftiR + sulfu + bruþur + sin +,"Vébjôrn raised this stone in memory of Sylfa/Sôlva, his brother."
Ög 47 $,· þurfi(r)iþa · risti : stin · þinsi : aftiR : isikl : faþur · sin · auk · asbun : buru · sin ·,"Þorfríða raised this stone in memory of Áskell/Ísjôkull, her father, and Ásbjôrn, her brother."
Ög 48,°,°
Ög 49,$M [+ ges : krist : þn ¶ alt ma :] siali : (æ)(s)(u) [sial] ¶ i þn nistiaa : i ste(n)n lik a ka,"$M Jesus Christ, who is capable of all, may bless Ása's soul. In <þn> <nistiaa>, into the stone the corpse have to go."
Ög 50 †,[...uiitiu...],...
Ög 51 $,[barkuiþR : karþi : stin : þena] ... (u)fiR : (u)...[hriþ : koþ : hialbi : sihol : hans :],Bergviðr/Barkviðr made this stone over ...-røðr. May God help his soul.
Ög 52 $,... (a)uk : þeiR · b(r)[uþr let]u : l(e)... ... : þa(n)[a yfiR · i]orilt- -os...(a)(n),... and these brothers had this ... laid over Jórhildr(?) ...
Ög 53,†$ §P [sueiniþ · nk nk... ... ... ... uiRtnr g(u)þ : hia(b)i : sia(l)(u) suein inl hk] §Q [suein inlhk skeiniþ · nk nk... ... uiRtnr g-þ : hia-i : si(e)nb],†$ §P Sveinheiðr(?) and Inga(?) ... ... ... Eyvindr(?) May God help (his) soul. Sveinn(?) cut(?) the rock-slab.(?) §Q Sveinn ... ... ... ... ... ... May God help ...
Ög 54,... auk : as-... ... ... ... sin,... and Ás-... ... ... ... his.
Ög 55,°,°
Ög 56,: ualtrikr : lahþi : stin : þi... ...,Valdríkr laid this stone ...
Ög 57 M,asmutær (:) gæþi : tRr þasar (:),Ásmundr made this door.
Ög 58,†$ °,†$ °
Ög 59 †,[...n : s-n ai--þ-i-i],... ... ...
Ög 60 †,[turi : sati : stin : þonsi : aftir : askut : bruþur : sin : iar : barþi : iattin : þikra : i : iatustun : auk : brunia : fik : harþa : kuþan ·],"Dýri(?) placed this stone in memory of Ásgautr, his brother, who lived(?) in Jôtunstaðir(?) and Brúni, a very good valiant man.(?)"
Ög 61,: sirun : raisþi : stain : eftiR : ausburn : faþur : sin :,"Sigrún raised the stone in memory of Ásbjôrn/Austbjôrn, her father."
Ög 62 $,[eystin : rais-i : sti-] ... ...tiR : iskil : bruþur : sin :,"Eysteinn raised the stone ... in memory of Áskell, his brother."
Ög 63,saþ(u) + þati + tiþtku + su(i)(t) × (a)(f)(h)l × Rtst × fa si,... ... ... ... ... ... ... ...
Ög 64 $,trikiaR + risþu + stin + þisi + aft + krib kilta + sin + lufi + rist + runaR + þisR + iuta + sunu,"Valiant men raised this stone in memory of Greipr, their guild-brother - Lófi carved these runes - Júti's son."
Ög 65 †,[... (l)·et ...a-ua -...ml : if-...- ...-il-ti -u-u s--·a -... ...],"... had the monument cut in memory of Ragnhildr, his wife ... ..."
Ög 66 $,: ikiualtr : ristþi : stin : þisi : eftiR : stufialt : bruþur : sin : suain : halkuþan : sun sbialbuþa : it : inik : ant,"Ingivaldr raised this stone in memory of Styfjaldr, his brother, an excellent lad, the son of Spjallboði. I proclaim the promise fulfilled."
Ög 67,sirkir × resþi × stin × þana × eftR × karna,Sverkir/Sørkvir raised this stone in memory of Geirni/Karni/Garni.
Ög 68 $,suina × karþi × bru × þesi × eftiR × ouint × bruþur × sin × han × uas × uesteR × tauþeR × i × uereks × (k)ai-i,"Sveina made this bridge in memory of Eyvindr, his brother. He died in the west on Væringr's ..."
Ög 69 $,[·] ki... ...þur,... ...
Ög 70 $,[b]uþ[i ·] ur[þ]... t[(u)(s)]ti + auk × tuki + þiR (b)... -- ... eftR þu(r)ku[(t) ...þu si],"Boði(?) ... Tosti and Tóki, these brothers ... ... in memory of Þorgautr, their father."
Ög 71,†$ [luki · risþi · stin · þansi · yftiR · auno sin · bruþur],"†$ Lokki/Illugi raised this stone in memory of Auni, his brother."
Ög 72 †,°,°
Ög 73 $,... ...ml : þe[s]a : ef[i]R : [su]ein : [þ]-[(n)i : f]... ...,... these monuments in memory of Sveinn ... ...
Ög 74 $,[k]u[n]sein : [iklen]... ... ...þ : halbi : siaol : hen[i]R :,Gunnsteinn(?) ... ... May God help her soul.
Ög 75 $,... -umbl : þata : (y)fiR : sikrun : moþu... -(i)n- : kuþ : hia-... ...,"... this monument over Sigrún, his mother. May God help ..."
Ög 76 †,[... : þeR : la-... ...],... they laid(?) ...
Ög 77,: tuna : sati : stin : þ-... --tR : sin : uar : þurfast : uas han : man : mist : uniþik ·,Tunna/Tonna placed this stone in memory of her husband Þorfastr. He was the most unvillainous of men.
Ög 78,†$ [... -oþan :],†$ ... good
Ög 79 †,[...iau... ...it... ¶ ...k...],... ... ...
Ög 80 †,°,°
Ög 81 $ §A,· þukir · resþi · stin · þansi · eftiR · asur · sen · muþur·bruþur · sin · iaR · eataþis · austr · i · krikum · §B · kuþr · karl · kuli · kat · fim · syni · feal · o · furi · frukn · treks · asmutr · aitaþis · asur · austr · i krikum · uarþ · o hulmi · halftan · tribin · kari · uarþ · at uti · §C auk · tauþr · bui · þurkil · rist · runaR ·,"Þorgerðr(?) raised this stone in memory of Ôzurr, her / Ôzurr Seinn, her mother's brother. He met his end in the east in Greece. §B The good man Gulli got five sons. The brave valiant man Ásmundr fell at Fœri; Ôzurr met his end in the east in Greece; Halfdan was killed at Holmr (Bornholm?); Kári was (killed) at Oddr(?); §C also dead (is) Búi. Þorkell carved the runes."
Ög 82,: þurkil (r)(i)-- ---- (þ)(a)s(i) (i)ftiR · uint · tusta · sun · iaR · ati · hug¶bu :,"Þorkell carved(?) ... this in memory of Eyvindr, Tosti's son, who owned Haugbýr."
Ög 83 $,· þura · sati · stin · þasi · aftiR · suin · sun · sin · Rs · uRstr · o · ualu,"Þóra placed this stone in memory of Sveinn, her son, who died in the west in <ualu>."
Ög 84 †,[þurkil · (u)(k) · ilka × þau × risþtu × sin],"Þorkell and Helga, they raised the stone."
Ög 85 †,[hilf · risþi s-... ...-i × iftiR × þuri],Helfr raised this stone in memory of Þórir.
Ög 86 †,[... ... ...tein : þensa : ef--... ...ktun : faþur : ...],"... ... this stone in memory of Halfdan(?), (his) father ..."
Ög 87,°,°
Ög 88,· austin · risþi · stin · ayftiR · kata · frita · sin ·,"Eysteinn raised the stone in memory of Káti/Gaddi, his kinsman."
Ög 89,urmar : risti kuml : iftR : eskil · bruþur · sin ·,"Ormarr raised the monument in memory of Áskell, his brother."
Ög 90,× ketil + -... ... ... ...-s + frita sin,Ketill ... ... ... ... his kinsman.
Ög 91 $,yuia · rit · stin · þa-- · yti · a-mu · sustr,"Órœkja(?)/Eyja(?) raised this stone in memory of Amma(?), (his) sister."
Ög 92 †,[kit^ulfR · uk · suin risþu · stin · þonsi · ifti bruna faþur sin],"Gautulfr(?) and Sveinn raised this stone in memory of Brúni, their father."
Ög 93,: þiuþreiþr : reisþi : stein : þisa : eftiR : biurn : buta : sin : aR : uarþ · hauin ·,"Þjóðheiðr raised this stone in memory of Bjôrn, her husbandman, who was cut down."
Ög 94 $,: askata : auk : kuþmutr : þau : risþu : kuml : þ[i](t)a : iftiR : u-auk : iaR : buki| |i : haþistaþum : an : uaR : bunti : kuþr : taþr : i : ki[(r)]k[(i)(u)(m)],"Ásgauta/Áskatla and Guðmundr, they raised this monument in memory of Oddlaugr(?), who lived in Haðistaðir. He was a good husbandman; (he) died in Greece(?)"
Ög 95 †,[...uk × þan × b...],... ...
Ög 96,þurstin × risþi [× s]tia × þaasi × eftiR × ymut × bruþu[r×]sua × sia,"Þorsteinn raised this stone in memory of Eymundr, his brother's son."
Ög 97,kuþmuntr × risþi × stin × þnsa × eftiR × uistin × faþur × sin × kuþ × hialbi × hans × saul ×,"Guðmundr raised this stone in memory of Vésteinn, his father. May God help his soul."
Ög 98 $ §A,... ris... · stin · þansi · iftiR · -uruk · sin · [f]aþ-... ... §B iri...-i,"... raise this stone in memory of Krókr(?), his father ... §B ..."
Ög 99 $,kiRmutr · auk : anutr · þiR ristu : st(i)n : þisa : iftR : suta : faur : sin : biarki : kuþ saul : has,"Geirmundr and Ônundr, they raised this stone in memory of Sóti, their father. May God save his soul."
Ög 100,suain nuk suainal[tr · ra]istu ... ... ... ...l faþur ...,Sveinn and Sveinaldr raised ... ... ... ... father ...
Ög 101 †,[... litu · kiar... ... · iskii ...],... had made ... Áskell ...
Ög 102 $,+ sinkR : let --... ... ... eftiR : friþelfi : kunu : sina : kuþ hialbi : sialu [h]inaR,"Sínkr had ... ... ... in memory of Friðelf, his wife. May God help her soul."
Ög 103,tufi : raisti : stain : þinsi · iftiR : liþbufa · faþur · sin ·,"Tófi raised this stone in memory of Lið-Bófi, his father."
Ög 104 $,: ruþr : risti : stin : þinsi : iftiR : tuk- : bruþur : sin : saR : uarþ : trbin : a : ilati : triR : arþa : kuþr :,"Rauðr raised this stone in memory of Tóki, his brother, a very good valiant man, who was killed in England."
Ög 105 $,þurstin : risti : stin : iftiR : uista : faþur sin : buta : nutan : aR : uaR : han : sun : kisa :,"Þorsteinn raised the stone in memory of Véseti, his father, a capable husbandman, who was Gísi's son."
Ög 106,: þu-... ...,... ...
Ög 107,... ...(t)i : baþa : istina : at : i... ...,... raised both stones in memory of ... ...
Ög 108,... ...isþi : a-... ...,... raised in memory of ...
Ög 109,· smiþr · risþi · stin · eftir · onut · sun · sin ·,"Smiðr raised the stone in memory of Ônundr, his son."
Ög 110,... ...-- · iftiR : suni × sina · (h)... ...,... ... in memory of his sons ... ...
Ög 111 $,· uirikR : resti : stan : eftiR : þialfa : bruþur : sin : trak : þan : aR · uaR · miR · knuti :,"Væringr raised the stone in memory of Þjalfi, his brother, the valiant man who was with Knútr."
Ög 112 †,[uluf × risþi × stin × þisi × iftiR × hufi × buta × sin × kuþan],"Ólôf raised this stone in memory of Hofir/Høfir/Hyfir, her good husbandman."
Ög 113,: uerun : let : resa : sten : þena : eftiR : bofa : sun : sin : aouk : eftiR : eskerþi : totur sina kuþ : hiulbi : seol : þeRa,"Vérún had this stone raised in memory of Bófi, her son, and in memory of Ásgerðr, her daughter. May God help their souls."
Ög 114,†$ [... : if-... ...],†$ ... in memory of ...
Ög 115,...s-- : f(R)-- : ...þa--- : ...,... ... ... ...
Ög 116,°,°
Ög 117 $,...uiR ÷ baþ [÷] t[io ÷ stin ÷] (þ)(i)(n)... ...---a ÷ --h(a)--- : --(u)-...,...-vér ordered this stone be fashioned ... ... ...
Ög 118,· kunar · auk · emikr · restu · sten · þana · eftiR · faþur · sin · bersen · auk · utar · bruþur · sin ·,"Gunnarr and Hemingr raised this stone in memory of their father Bergsveinn and Óttarr, their brother."
Ög 119 †,[sikton : riti stin · þoi · iftir · ufata · faþur · sin buta · kuþ],"Sigdan erected this stone in memory of Ofæti(?), his father, a good husbandman."
Ög 120 †,[krimuluf · resti · sten · iftR · þurburn · faþur : sin ·],"Grímulfr raised the stone in memory of Þorbjôrn, his father."
Ög 121,asm(u)(t)(r) · auk · þeR · bruþr · restu · sten · þani · eftiR · sarta · faþur · sia ·,"Ásmundr and his brothers raised this stone in memory of Svarti, their father."
Ög 122,†$ [anunR : risti : ifti : harþin(a) : bruþi sin · kuþan : trik · hala : uais],"†$ Ônundr raised in memory of Harðini(?)/Harðenni(?), his brother, a good valiant man, very(?) renowned(?)."
Ög 123 †,[þuri : rsti · stin · eftiR · tumi · sun · sin],"Þórir raised the stone in memory of Tumir/Tummi/Dómi, his son."
Ög 124,†$ [utaRa · sati · stin · þina · iftiR : kitil : faþur · sin],"†$ Óttarr/Ótama placed(?) this stone in memory of Ketill, his father."
Ög 125 †,°,°
Ög 126 †,°,°
Ög 127 †,[hua · lat · ri... ... ...ur · sin ·],<hua> had raised/carved ... ... his.
Ög 128,: santau × lit × risa × stain × þinasa × iftiR × fasta ¤¤ bunta ¤ sin × auk × bruþ × sina + tua + kuþmunt :: auk + sikbiurn,"Sandey had this stone raised in memory of Fasti, her husbandman, and her two brothers Guðmundr and Sigbjôrn."
Ög 129 †,[kuþurn : auk : sikstain : auk : kiRi : þaiR : ristu : stain : aftiR : ulaf bruþur sin],"Guððorn and Sigsteinn and Geiri, they raised the stone in memory of Ólafr, their brother."
Ög 130 †,[iuar : raisti : iftiR : anari : þutR : sin : trik : kuþan :],"Jóarr/Ívarr raised (the stone) in memory of Einarr, his brother(?), a good valiant man."
Ög 131 $,· þurkiR : resþi : kuml : þusi : eftiR : onut : konb : faþur : sin :,"Þorgeirr raised these monuments in memory of Ônundr Moustache, his father."
Ög 132,hulmstein : reisþi : stein : þena : auk : bru kiarþi : eftiR : miur : faþur : sin : iR : buki : i : iatunstaþum :,"Holmsteinn raised this stone and made the bridge in memory of Myrr(?) (The Ant ?), his father, who lived in Jatunstaðir."
Ög 133,: brutr : reisþi : stein : þesa : eftiR : sagsa : faþur : sin : auk eftiR : ut : bruþur : sin : kuþ : hialbi : þeim,"Broddr raised this stone in memory of Saxi, his father, and in memory of Oddr, his brother. May God help them."
Ög 134 $,finuiþrR · sati ... þansi · eft... ...,Finnviðr placed this ... in memory of ...
Ög 135 $,: skaukR × auk : asur : reisþu : stein : þisa : eftiR · kak · faþur · sin ·,"Skáungr(?) and Ôzurr raised this stone in memory of Kagr(?)/Gagr(?), their father."
Ög 136 $ §A,aft uamuþ stonta runaR þaR + ¶ (i)n uarin faþi faþiR aft faikion sunu ¶ sakum| |mukmini þat huariaR ualraubaR uaRin tuaR ¶ þaR suaþ tualf sinum uaRin| |numnaR t ualraubu ¶ baþaR somon o umisum| |monum ' þat sakum ona¶rt huaR fur niu altum on urþi fiaru ¶ miR hraiþkutum auk tu ¶ miR on ub sakaR ¶ raiþ| |þiaurikR hin þurmuþi stiliR ¶ flutna strontu hraiþmaraR sitiR nu karuR o §B kuta sinum skialti ub fatlaþR skati marika §C þat sakum tualfta huar histR si ku¶naR itu| |uituoki on kunukaR tuaiR tikiR sua¶þ o likia + þat sakum þritaunta huariR t¶uaiR tikiR kunukaR satin t siulunti fia¶kura uintur at fiakurum nabnum burn¶(i)R fiakurum bruþrum + ualkaR fim ra^þulfs| |su¶niR hraiþulfaR fim rukulfs| |suniR hoislaR fim haruþ¶s suniR kunmuntaR fim (b)irnaR suniR × nuk m--- (m)-- alu --(k)(i) ainhuaR -þ... ...þ ... ¶ ftiR fra ¶ saGwM| |MOGMEni (þ)aD HOaR iGOlD¶(i)Ga OaRi GOlDin D GOonaR HOsli ¶ airfb<sakum>| |<mukmini>bfrbnhn finb<uaim> an<si> tfbnh<burin>| |<niþ>hnu¶R troki uilin is þat + rhfþ<knuo> rhis<knat>¶i| |iatun uilin is + þat <(n)(i)(t)> §D <-akum| |mukmini þur> §E <si>bi <ui>a<ua>ri §C <ul niru>þR,"In memory of Vámóðr stand these runes. And Varinn coloured them, the father, in memory of his dead son. I say the folktale / to the young men, which the two war-booties were, which twelve times were taken as war-booty, both together from various men. I say this second, who nine generations ago lost his life with the Hreidgoths; and died with them for his guilt. Þjóðríkr the bold, chief of sea-warriors, ruled over the shores of the Hreiðsea. Now he sits armed on §B his Goth(ic horse), his shield strapped, the prince of the Mærings. §C I say this the twelfth, where the horse of Gunnr sees fodder on the battlefield, where twenty kings lie. This I say as thirteenth, which twenty kings sat on Sjólund for four winters, of four names, born of four brothers: five Valkis, sons of Ráðulfr, five Hreiðulfrs, sons of Rugulfr, five Háisl, sons of Hôrðr, five Gunnmundrs/Kynmundrs, sons of Bjôrn. Now I say the tales in full. Someone ... I say the folktale / to the young men, which of the line of Ingold was repaid by a wife's sacrifice. I say the folktale / to the young men, to whom is born a relative, to a valiant man. It is Vélinn. He could crush a giant. It is Vélinn ... §D I say the folktale / to the young men: Þórr. §E Sibbi of Vé, §C nonagenarian, begot (a son)."
