Sample_ID,Source,Reference,Target_Language,qwen3.5:0.8b_translation,qwen3.5:2b_translation,qwen3.5:4b_translation,qwen3.5:9b_translation
51,þruntr × risti + tsin × þinsa + aftiR · þurtsin [faþ](u)r sin,"Þróndr raised this stone in memory of Þorsteinn, his father.",en,The sun shines on the trees,Runer's name of strength with the daughter of the fire,"The thunder shakes and shatters, breaking its father's horn.",Trunth wrote down a few pieces of his father's faith.
52,$U §P -uþaþit-ih -ilald (t)-uiuu-(t)w- §Q a^luþa þit (s)i huilalda^| |^aï uiu u(e)a aþa^l,$U §P ... artifact ... §Q Of the ale this will be the resting-people’s (= the deads’): (for?) ever I sanctify abode of the gods.,en,"This is an inscription, likely from the Viking Age. The text provides details about the names of two individuals: ""Uðaf"" and ""Einar"". In Old Norse, the letter $\$U$ represents U, while $\$P$ represents P, indicating that these are given names. The word $a^{\prime}u \theta a$ means 'good', which is likely referring to Einar's name as the bearer of good qualities or attributes.",$U \Sigma P-uðatith-ilald (t)-uiuu-(t)w \Sigma Q alþa þit s huilaldah | |^a i uiu u a aþal,You must give me your love,I have not yet become an old man.
53,ingibiorh · hin fahra · æhkia §B môrhk · kona · hæfer · faret · lu(t) in her mihgil oflate §C ærlikr,"Ingibjôrg, the fair widow. §B Many a wife has travelled stooping in here. A great show-off. §C Erlingr",en,In the field of life: a heart that has not been beaten with pain: a crown on the forehead and a head covered with hair. A hand held to a mouth which is full. A soul to be left for another who is not. The sun to be hidden in her own womb or the moon shining forth from it. The earth to be taken away by a man's hand. A star in a starry sky.,"Ingiborhr: This one is the road to be traveled, the path with a certain name. Mörk: Conceived by him, he was born from this: the wolf and the man who went in his direction. In her place I have written ""of late"" as an equivalent for ærlakr.","""Bring me my bridegroom to the boat, for I am the queen of the ships. Let him fly and go far in his power, before he is old.""","Ingibjorg the wealthy, a woman who has borne children, has gone far to see many noble friends, formerly."
54,... ...- (:) rista : s(i)tn : þisa : e(f)(t)ir : asu : muþur : sin...,"... ... (had) this stone carved in memory of Ása, his mother.",en,"This is a collection of Oesca/Runic words from Old Norse, representing concepts such as the ""people's people"" (a dialect term for peasants), ""the house,"" and various agricultural or household terms.",... ...: (:) to stick : sat : so this : some : house : a man ...,...of those before your mouth...,carve with these words after one's own mouth...
55,...-k lun-a : -... ...(a)lbi · siao- ...,... may help the soul ...,en,"He was in the garden of Elu: -k, Lun-a, . .. a-lbi, siao-, .-.",...-k lona :-.-... (A)lbi . siao- ...,... -k lun-a : -. .. ...(a)lbi · siao- ...,the moon: the (wolf) ...
56,þurkl × auk + kisl + -itu + rais- ... þian + iftR + faþur sn + kans- ku- hialbi ant hans,Þorkell and Gísl had this stone raised in memory of their father Gansi(?)/Knasi(?). May God help his spirit.,en,"The land is vast and rich and full of many things... and also very great.  The earth has the sun, the moon and stars, as well as a long life.  And it is not empty.  The sun will rise on it and return to its place;",þurkl x auk + kisl + -itu + rais-... þian + iftR + faþur sn + kans-ku-hialbi ant hans,"Thorkil's brother and sister, father-in-law of Snorri, Hans' grandfather.",Thank you very much for your father's help and his aid.
57,[: rakR : lakþi : stin : yfiR : þiuk : s...n : sin : s...],"Rekkr laid the stone over Þjokkr, his son ...",en,"Stingy (or ""thin"" depending on context)",raak-ith-thain-fyok-sin-sin,Let it be known that they have been taken as a gift by the god of the gods,He cut down the stones and built the wall for them to dwell in.
58,þurfinr : r---- ----- : --n- : --... ... §B ...,Þorfinnr raised(?) the stone(?) in memory of(?) ... §B ...,en,Þurfrinar: R--- ..... : .n - . .... §B ...,Þorfinnur,Thurfir: ri-------: --n- : --. ..,Thurfin: r---- ----- : --n- : --. .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
59,(s)(a)- riti sanat kaolu a^mn -... §AQ (s)(a)- rit is anat i saolu a^mn -... §AR (s)(a)- riti| |is a| |an ati saolu a^mn -... §B a(i)kua(i)tu,... by writing heals the crazy woman. Amen ... §AQ ... writing is something different in the soul. Amen ... §AR let ... write who owns and experienced happiness/luck. Amen ...,en,(Ś)|ṣīn sārṛāta kaḥoᵻa āmĕn-... (§AQ)(s)(a)- rit is anātīsaḍoḍ āmĕn-... (§AR) (s)(a)- rīt| |is a| |anāti saḍoḍ āmĕn-... (§B)a(i)kā(i)tu,A(n)t h(r)a(k)u(a)n s(æ)ng(s)i t w(h)i c h(t)i n d u i n g (s)(a) m i r o r p s i c l(o)r(e). A(n)t h(r)a(k)u(a)n i s a l l t h e l(l)o v(e)s i n g(æ)l t(h)e(i) r(t)i b(u)r(s).,"There were no such words as those in which they say it was not a good sign: there are also not the same letters and those written by them with different signs. There are some of their letters that are used in two different ways, and there are others.",The rites are done in this life and the next. The soul is at rest.
60,kuþfastr aok ' þorontr ' litu rita sten ' eftiR ' faþur sin ' hals ' ok frykuþr ' yftiR ' bonta sin ' þorþr : hiak · runar · þisar ' ual,Guðfastr and Þróndr had the stone erected in memory of their father Hals; and Freygunnr in memory of her husbandman. Þórðr cut these runes well.,en,"Kvifastað er í að vörðu, þá gæti verið þínur, sem heyrir, rita sten. Í fyrri skömmum var á með tíun eða túsundar, og ólíkt fjarlægðu sinu hals og frykuþra. Þau eru ekki haka, runa og þisar; að við umkennaðum eru úr völdum og tónnum (ur).","the strong of the long ones, written stone, left father's throat and crushed one; his brother - runes, their sign: they.","A good stone inscription on the wall, after his father's neck and after his mother's shoulder; these runes are very great. Ual.","""The most trusted [one] and the thorned ones looked like stone, after their father's neck and fearful beyond his armor; these runes cry out."""
61,+ esse krusem tomi¶ni : fugite pa^rtes ¶ at^uerse uisit le(o) ¶ te t^ribu iuta -----... ----... ¶ kua(t)^uo^r gra^na in pen¶talum in--... ¶ fo(n)te t^utit : ¶ aaron : iesus + §B -(o)hannes ¶ ma^rkus ¶ maþeus ¶ lukas §C -a^gla al¶pha et ¶ o + - :,"Behold the cross of the Lord; flee, you hostile powers. The lion of the tribe of Juda, the root of David, has conquered. Four letters on the forehead-plate that Aaron bore on his forehead, Jesus. §B John, Mark, Matthew, Luke. §C Agla. Alpha and Omega ...",en,"This is to be read in the language of fugitives, to you, and at once; for he has not yet come. It was on this day that Aaron made peace with Jesus: from whom then also came He (B) to Halmhals? And Mark and Matthew are here again? For what shall I say of them except they shall be as the Lamb whose horn is in Egypt.","to this tomianni: flee from that place as the elders have sent. The disciples are in a certain state, and they do not understand what is being written. This is written for you, Aaron; it contains Jesus plus a mark: Johannes Markus, Matthew Luke John, Mark's Alpha, and also O-Hannes.","Thus the cross: fugitives flee to arms: tribulated by blood -----. .. ----.. quator grains in a chalice of gold: Aaron; Jesus + St. John, Marcus, Matthew, Luke + C: alpha and O.",be crucified on this one: flee from the other parts visited (by) le(o) the tribulation juta -----... ----... ¶ kua(t)^uo^r grain in a penance in--. .. ¶ fo(n)te tutit: ¶ aaron : Jesus + §B -(o)hannes ¶ markus ¶ maþeus ¶ lukas §C -a^gla al¶pha et ¶ o + -:
62,[suth]i auk · iki[fastr · litu] rita [stai]n ' iftiR × ikalt ' uk ' (f)[tiR ikhu]ar · fe[þr si]na · kuþa · i,"Sóti and Ingifastr had the stone erected in memory of Ingjaldr and in memory of Ingvarr, their good fathers ...",en,"The sky is made bright. The light shines upon the earth, for it was created by God's hand and not by a beast. He has made us, and we shall return to him in his own day; and we must return to the same place.","the East; the West, the South; to write.","And the southern winds will also blow, fast-blooming and lithe, they shall be the stone to which the cold shall cling, while its own heat, the sun.","Southland and its fast, look, write stone, if times fall cold, and (faithful) brothers, their deeds, known."
63,alfkil ÷ uk ÷ hns ÷ suniR ÷ risþu : stin : þansi : ift : ¶ · mana : sin : frinta : þans × uas · lantirþi ÷ kitils ÷ þis ÷ ¶ nuruna ÷,"Alfkell and his sons raised this stone in memory of Manni, their kinsman, who was Ketill the Norwegian's estate-steward.",en,the old Norse transliteration of this text is the following:,"a-folk and women are to the sun, from the rising: stone, then man: breath: fire; wind of a land-son: smith's iron, this: only-born.",Alfkiell uk hns suni rissu: stinn: þansi: ift: mana: sin: frinta: þans uas lantirð i kitils þis nuruna.,"Alfkill, son of Uk the Risþu's stein-ancestor's brother's grandson, was dedicated by Nuruna."
64,ali · auk · karli · risþu · stin · þansi · stin · þansi · iftiR · firist(i)n · faþur · sin · miuk · kuþan þikn,"Áli/Alli and Karli raised this stone [this stone] in memory of Freysteinn, their father, a very good Þegn.",en,"the wind, the cold, the wolf, and the sun; a fierce fire, an old woman, a great child, a strong man with power, and a young boy.",a little one; the man; the men of light and strength; the stones; the women who bear; the children of fire; the father; his wife; her womb; the shield that makes him brave.,"brother · also · Karl · rise, stone, this; stone · this · down, fearfully · father, his · milk · the king's","Ali and the man, Risthatalr was made from stone, the giant, a man's father, his mother, and their brother."
65,$M auæ : ma^ria : gra^kia : plena ...,$M Hail Mary full of grace ...,en,"The full meaning is often expressed as: ""Fullness"" in Old Norse/Runic.",Maua: Marea Graudia Plena...,Mary full of grace...,Mary full of grace
66,fastkaiR fastlauk at sun sin litu (h)akua at nefkair,"Fastgeirr (and) Fastlaug had (the stone) cut in memory of Nefgeirr, in memory of their son.",en,"A swift and sharp knife, a great and wide axe, that blows upon the fire of life (h)akua, in the shadow of the sun (nephka).","the first of five days when all the light shines into the deep darkness, in which there is no night.",The swift ship will swiftly cross so that her son may light it with an anchor for the clouds.,"Hard rock, hard laurel; when it shines, its light on horned ones' necks."
67,... ...þi : stin : þa...- · -...,... raised this stone ...,en,"The text you provided appears to contain phonetic transliterations in what looks like Runic script (likely Old Norse) followed by English transliteration. However, the input string `... ...þi : stin : þa... - . -` is highly ambiguous and likely not a single coherent phrase but rather a series of fragmented phonetic notes or OCR errors without context. It resembles parts of an Icelandic song lyric (often found in *Gíslagátt* collections) where the speaker says ""þi stin þa..."" which translates to ""the word was good / it's fine,"" but the specific string `... ...þi : stin : þa` does not form a standard English proverb or idiom.",... stone : that...,... ... then: stone: that... - · -. . .,for stone: then
68,þuri ÷ auk frystain ' litu raisa stain iftiR ' þurstain broþur sin,"Þórir and Freysteinn had the stone raised in memory of Þorsteinn, their brother.",en,"Þuri: awoke, frosty day, to rise from sleep",fourth is the frost-stone that rises above it to lift up his brothers' stones.,"Thuri and Frostane, my thirsty brothers, let us raise their thirsting stone.","Thuri and Frostain looked upon Stone-Ir, Thirstain's brother."
69,× kut × raisti × ifti × skara × sun sin × anun × hiu × siþu,"Gautr raised (the stone) in memory of Skeri/Skari, his son. Ônundr cut the side.",en,Heavenly and celestial.,cut rise of fire spark to sun from sun nevermore they hear,The sun will warm thy hair.,"The hut was raised and the hall of women was there, and after this they sailed away."
70,[... -k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur ...],"... ... ... Sóti's son ... ... in memory of Þórðr, brother ...",en,sun suta : þurth : burtur,...-k · --n · sun · suta : ---... ¶ ... aft : þurþ : bruþur...,"And I went out to my brother: then he was angry and his brother... (or ""He went away from his brother; then he was angry"")...","[...-k, a name, sun, Sautr: ---... ¶ ... after: lack, brother...]"
71,[...-R lit ' r...] ... ...- ÷ sina ÷ k...,... had (the stone) raised/erected ... ... their/his ...,en,He who has a right to speak of a right hand and whose heart is turned toward his friend.,...from-r light......--div sin-d-k...,your... kin...,...-R light 'r...' ... ...- divide your/their/k...
72,÷ felleg : er : fuþ : sin : bylli §B ÷ fuþorg lbasm,"Monstrous is the cunt, may the penis serve. §B Cunt-perverse/nymphomania ...",en,"Felegr (Fellager): he is: you are: you were: you have been: this one, the one that... ˜fʊɾgʔ (Fugorg): his house was...",divisional: is: foth: sins: bylie §B foþorg lbasm,The people's right hand is theirs; their left hand is theirs.,The f-leg is: fuþ; sin is a bill §B ÷ fuþorg lbasm.
