Sample_ID,Source,Reference,Target_Language,Prediction
80,hulmstin × auk × haosui × litu × raisa istain × iftir × iybiurn × faþur sin × auk × kiriþ × ifti,"Holmsten och Hosve lät resa stenen efter Jobjörn, sin fader, och Gyrid efter [honom]",sv,"Hulmtin och Haosui har gjort detta för Äbiurn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn, Äbjôrn,"
81,asm(u)(t)(r) * auk * þeR * bruþr * restu * sten * þani * eftiR * sarta * faþur * sia *,"Asmund och hans bröder reste denna sten efter Svarte, deras fader",sv,Rösta i sin tröst.
82,tur...rn rti * stun þansi * ufti × u(i)(s)(þ)i uis × broþu...,"Torbjörn reste denna sten efter , Svens broder",sv,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
83,... : eftiR : man : tau... ...,... efter den döde mannen ...,sv,... ...
84,krim * risti * stin * efti * hltan * freta * sin *,"Grim reste stenen efter Halvdan, sin frände",sv,Krim har stunden haft det.
85,i(n)ki * auk * kati... ... ... * stain * at * þtgn * -aþur * sin * koþan * kuþ * ialbi,"Inge och Kättil ... stenen efter Tägn, sin gode fader",sv,... (här) ... ... ... ...
86,+jilsuiþ : arærde : æfte berhtsuiþe • bekun onbergigebid=daþ þær : saule-,Gilswith reste efter Berhtswith minnesmärket på en kulle. Be för hennes själ.,sv,Jölsvið har det berget sina egna.
87,iþal-ra × lit rita stin þino + abtiR ibiurn sun sin × þaR uaR-... ...(h)... ...uain × auk arnfasta (a)uk ai-... þaiR u(a)... -uþ hialbi hons| |salu| |uk| |kuþs muþiR × runoR ritaR hu-msr,"... lät resa denna sten efter Ebjörn, sin son. De var ... Sven och Arnfast och ... de ... Gud hjälpe hans själ och Guds moder. Rätta runor högg Åsmund",sv,(1) iðal-ra (2) lit (3) rita (4) stin (5) þino (6) abtiR (7) ibiurn (8) sun sin (9) þaR uaR-... ...(10) ...(11) ...(12) ...(13) ...(14) ...(15) ...(16) ...(17) ...(18) ...(19) ...(20) ...(21) ...(22) ...(23) ...(24) ...(25) ...(26) ...(27) ...(28) ...(29) ...(30) ...(31) ...(32) ...(33) ...(34) ...(35) ...(36) ...(37) ...(38) ...(39) ...(40) ...(41) ...(42) ...(43) ...(44) ...(45) ...(46) ...(47) ...(48) ...(49) ...(5
88,biurn : riti stain þino : aftiR : ufriþ : auk at : un sunu sin,"Björn reste denna sten efter Ofrid och efter Unn, sina söner",sv,Bjôrn har gjort denna sten för att göra sig ungt.
89,asmut-r... ris-- * runaR * eftiR × stein * faþurs*faþur * sin * auk * faþur * siba * ok × geiRbiarnaR × aok... ulfs * eaR * merki * mikit * at * man * koþan ×,"Åsmund ristade runor efter Sten, sin farfar, och fadern till Sibbe och Gerbjörn ... ett stort minnesmärke efter en god man.",sv,"Ryssland, i Riga, i Steinn. Förra, sin auk, förra, sin auk, förra, sin auk, förra, sin auk, förra, sin auk. Äldsta, merki, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket, mycket"
90,¤ (u)talfriþR : raisti * staina + þisa a-tR * styr * faþur : sin * (k)...þ hilbi * ant þira bratr hiuk run-R,"Odalfrid reste dessa stenar efter Styr, sin fader. Gud hjälpe deras andar. Brand högg runorn.",sv,"Ånna endast den svenska översättningstexten. Inga etiketter, förklaringar eller extra text."
91,...- × r(i)(t)(a) × stin × þina × at × runul- ...-...,... resa denna sten efter Runulf ...,sv,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
92,: asur : auk : þai(R) ...in : | : ...,Assur och ...,sv,Ange endast den svenska översättningstexten.
93,... reisa × stein × auk × k--- ... hialbi × ont × hans ×,... resa stenen och gjorde ... hjälpe hans ande,sv,... (den) svenska översättningstexten.
94,kakulfr ' ok benuiþr ' litu ' rita ' sten ' iftR ooþbiarn ' sun in,"Gångulv (?) och Benvid lät resa stenen efter Ödbjörn, deras son",sv,Kakulfr och Benuiðr har gjort sten i för att göra sig Rota.
95,... ...(s)(þ)i : stin : þna : iftiR : kuþmut : sun sin : þa-...,"... reste denna sten efter Gudmund, sin son ...",sv,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
96,þurkal : sati : stia : aft : ... ... sun : faþur : sin :,"Torkel satte denna sten efter ... son, sin fader",sv,Tjälkall hade sina ättar. ...
97,: atuitr : raisti : stein ... at : aisi : faþur : sin : þrutaR : þiakn :,"Andvätt reste denna sten efter Est, sin fader, en dugande man",sv,"Ange endast den svenska översättningstexten. Inga etiketter, förklaringar eller extra text."
98,kal|i| |l|it hkua heli ţisa iftiR * suni sina toa * auk ţau ikiţora * bR- (a)ina kiarţu mukit mirki furiR arkum mani,"Kale lät hugga dena häll efter sina tvĺ söner och han och Ingetora gjorde en bro, ett stort minnesmärke inför mĺnga män",sv,"Kalliga och Helga, höll dit till. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det. Vi har gjort det"
99,afriţ : lit : at : suartau(a) : auk : at : iulfast : suni : sina : ok : at : askaut *,"Ĺfrid lät [hugga hällen] efter Svarthövde och efter Igulfast, sina söner,  och efter Ĺsgöt",sv,Ange endast den svenska översättningstexten.
100,: sibi : auk : rusia : auk : krifi : þiR : raistu : stin : þansa : at : sluru : faþur : sin,"Sibbe och Rysja och Krifi de reste denna sten efter Slora, sin fader",sv,Sibi och Rusias aukar. Kriften har räst. Sluru har fattat.
